id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
TXCM-TX1,transplant_center,Children's Medical Center of Dallas,Texas,Region  4,56,32.8095,-96.8375,facility_or_city,"Children's Medical Center of Dallas, Texas, transplant center",,,,,
ILCH-TX1,transplant_center,Advocate Christ Medical Center,Illinois,Region  7,55,41.7218,-87.7302,facility_or_city,"Advocate Christ Medical Center, Illinois, transplant center",,,,,
NYUM-TX1,transplant_center,State University of New York Upstate Medical University,New York,Region  9,55,43.0408,-76.1391,facility_or_city,"State University of New York Upstate Medical University, New York, transplant center",,,,,
ILCM-TX1,transplant_center,Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,Region  7,54,41.8454,-87.9083,facility_or_city,"Ann & Robert H. Lurie Children's Hospital of Chicago, Illinois, transplant center",,,,,
TNUK-TX1,transplant_center,University of Tennessee Medical Center at Knoxville,Tennessee,Region  11,54,,,missing,"University of Tennessee Medical Center at Knoxville, Tennessee, transplant center",,,,,
OHTC-TX1,transplant_center,The Christ Hospital,Ohio,Region  11,53,39.1208,-84.5111,facility_or_city,"The Christ Hospital, Ohio, transplant center",,,,,
CACL-TX1,transplant_center,Children's Hospital Los Angeles,California,Region  5,52,34.0977,-118.2901,facility_or_city,"Children's Hospital Los Angeles, California, transplant center",,,,,
TXHH-TX1,transplant_center,"Memorial Hermann Hospital, University of Texas at Houston",Texas,Region  4,52,,,missing,"Memorial Hermann Hospital, University of Texas at Houston, Texas, transplant center",,,,,
PACH-TX1,transplant_center,UPMC Children's Hospital of Pittsburgh,Pennsylvania,Region  2,51,40.4672,-79.9532,facility_or_city,"UPMC Children's Hospital of Pittsburgh, Pennsylvania, transplant center",,,,,
PAVA-TX1,transplant_center,VA Pittsburgh Healthcare System,Pennsylvania,Region  2,51,40.4468,-79.9621,facility_or_city,"VA Pittsburgh Healthcare System, Pennsylvania, transplant center",,,,,
AZUA-TX1,transplant_center,Banner University Medical Center-Tucson,Arizona,Region  5,50,32.2412,-110.9456,facility_or_city,"Banner University Medical Center-Tucson, Arizona, transplant center",,,,,
CALA-TX1,transplant_center,Harbor UCLA Medical Center,California,Region  5,50,33.8294,-118.2948,facility_or_city,"Harbor UCLA Medical Center, California, transplant center",,,,,
MOCH-TX1,transplant_center,St. Louis Children's Hospital at Washington University Medical Center,Missouri,Region  8,49,,,missing,"St. Louis Children's Hospital at Washington University Medical Center, Missouri, transplant center",,,,,
TXFW-TX1,transplant_center,Texas Health Harris Methodist Fort Worth Hospital,Texas,Region  4,49,,,missing,"Texas Health Harris Methodist Fort Worth Hospital, Texas, transplant center",,,,,
