organ,to_date,year,transplants
Liver-Kidney,14583,2001,135
Liver-Kidney,14583,2002,210
Liver-Kidney,14583,2003,247
Liver-Kidney,14583,2004,280
Liver-Kidney,14583,2005,340
Liver-Kidney,14583,2006,401
Liver-Kidney,14583,2007,445
Liver-Kidney,14583,2008,379
Liver-Kidney,14583,2009,361
Liver-Kidney,14583,2010,388
Liver-Kidney,14583,2011,413
Liver-Kidney,14583,2012,462
Liver-Kidney,14583,2013,494
Liver-Kidney,14583,2014,558
Liver-Kidney,14583,2015,627
Liver-Kidney,14583,2016,730
Liver-Kidney,14583,2017,739
Liver-Kidney,14583,2018,677
Liver-Kidney,14583,2019,728
Liver-Kidney,14583,2020,776
Liver-Kidney,14583,2021,771
Liver-Kidney,14583,2022,789
Liver-Kidney,14583,2023,824
Liver-Kidney,14583,2024,785
Liver-Kidney,14583,2025,864
Liver-Kidney,14583,2026,179
Liver-Kidney-Heart,66,1988,0
Liver-Kidney-Heart,66,1989,1
Liver-Kidney-Heart,66,1990,0
Liver-Kidney-Heart,66,1991,0
Liver-Kidney-Heart,66,1992,0
Liver-Kidney-Heart,66,1993,0
Liver-Kidney-Heart,66,1994,0
Liver-Kidney-Heart,66,1995,0
Liver-Kidney-Heart,66,1996,0
Liver-Kidney-Heart,66,1997,0
Liver-Kidney-Heart,66,1998,0
Liver-Kidney-Heart,66,1999,1
Liver-Kidney-Heart,66,2000,1
Liver-Kidney-Heart,66,2001,1
Liver-Kidney-Heart,66,2002,0
Liver-Kidney-Heart,66,2003,1
Liver-Kidney-Heart,66,2004,0
Liver-Kidney-Heart,66,2005,1
Liver-Kidney-Heart,66,2006,0
Liver-Kidney-Heart,66,2007,1
Liver-Kidney-Heart,66,2008,1
Liver-Kidney-Heart,66,2009,1
Liver-Kidney-Heart,66,2010,0
Liver-Kidney-Heart,66,2011,2
Liver-Kidney-Heart,66,2012,1
Liver-Kidney-Heart,66,2013,1
Liver-Kidney-Heart,66,2014,0
Liver-Kidney-Heart,66,2015,0
Liver-Kidney-Heart,66,2016,1
Liver-Kidney-Heart,66,2017,0
Liver-Kidney-Heart,66,2018,3
Liver-Kidney-Heart,66,2019,6
Liver-Kidney-Heart,66,2020,3
Liver-Kidney-Heart,66,2021,8
Liver-Kidney-Heart,66,2022,8
Liver-Kidney-Heart,66,2023,7
Liver-Kidney-Heart,66,2024,5
Liver-Kidney-Heart,66,2025,9
Liver-Kidney-Heart,66,2026,3
Liver-Kidney-Intestine,4,1988,0
Liver-Kidney-Intestine,4,1989,0
Liver-Kidney-Intestine,4,1990,0
Liver-Kidney-Intestine,4,1991,0
Liver-Kidney-Intestine,4,1992,0
Liver-Kidney-Intestine,4,1993,0
Liver-Kidney-Intestine,4,1994,0
Liver-Kidney-Intestine,4,1995,0
Liver-Kidney-Intestine,4,1996,0
Liver-Kidney-Intestine,4,1997,0
Liver-Kidney-Intestine,4,1998,0
Liver-Kidney-Intestine,4,1999,0
Liver-Kidney-Intestine,4,2000,1
Liver-Kidney-Intestine,4,2001,0
Liver-Kidney-Intestine,4,2002,1
Liver-Kidney-Intestine,4,2003,0
Liver-Kidney-Intestine,4,2004,0
Liver-Kidney-Intestine,4,2005,1
Liver-Kidney-Intestine,4,2006,1
Liver-Kidney-Intestine,4,2007,0
Liver-Kidney-Intestine,4,2008,0
Liver-Kidney-Intestine,4,2009,0
Liver-Kidney-Intestine,4,2010,0
Liver-Kidney-Intestine,4,2011,0
Liver-Kidney-Intestine,4,2012,0
Liver-Kidney-Intestine,4,2013,0
Liver-Kidney-Intestine,4,2014,0
Liver-Kidney-Intestine,4,2015,0
Liver-Kidney-Intestine,4,2016,0
Liver-Kidney-Intestine,4,2017,0
Liver-Kidney-Intestine,4,2018,0
Liver-Kidney-Intestine,4,2019,0
Liver-Kidney-Intestine,4,2020,0
Liver-Kidney-Intestine,4,2021,0
Liver-Kidney-Intestine,4,2022,0
Liver-Kidney-Intestine,4,2023,0
Liver-Kidney-Intestine,4,2024,0
