center_id,center_name,state,region
TXLP-TX1,Las Palmas Medical Center,Texas,Region  4
TXMC-TX1,Methodist Dallas Medical Center,Texas,Region  4
TXMH-TX1,Houston Methodist Hospital,Texas,Region  4
TXPL-TX1,Medical City Fort Worth,Texas,Region  4
TXPM-TX1,Parkland Health and Hospital System,Texas,Region  4
TXRM-TX1,Christus Santa Rosa Hospital Medical Center,Texas,Region  4
TXSP-TX1,UT Southwestern Medical Center/William P. Clements Jr. University Hospital,Texas,Region  4
TXSW-TX1,Scott and White Memorial Hospital,Texas,Region  4
TXTC-TX1,Texas Children's Hospital,Texas,Region  4
TXTX-TX1,Baylor University Medical Center,Texas,Region  4
TXTY-TX1,East Texas Medical Center,Texas,Region  4
TXUC-TX1,University Children's Health,Texas,Region  4
TXVA-TX1,Michael E. DeBakey VA Medical Center,Texas,Region  4
TXWH-TX1,Wilford Hall Medical Center,Texas,Region  4
UTLD-TX1,Intermountain Medical Center,Utah,Region  5
UTMC-TX1,University of Utah Medical Center,Utah,Region  5
UTPC-TX1,Primary Children's Hospital,Utah,Region  5
VACH-TX1,Children's Hospital of the King's Daughters,Virginia,Region  11
VAFH-TX1,Inova Fairfax Hospital,Virginia,Region  11
VAHD-TX1,Henrico Doctors' Hospital,Virginia,Region  11
VAMC-TX1,"VCU Health System Authority, VCUMC",Virginia,Region  11
VAMV-TX1,Hunter Holmes McGuire Veterans Administration Medical Center,Virginia,Region  11
VANG-TX1,Sentara Norfolk General Hospital,Virginia,Region  11
VAUV-TX1,University of Virginia Health Sciences Center,Virginia,Region  11
WACH-TX1,Seattle Children's Hospital,Washington,Region  6
WASH-TX1,Providence Sacred Heart Medical Center & Children's Hospital,Washington,Region  6
WASM-TX1,Swedish Medical Center,Washington,Region  6
WAUW-TX1,University of Washington Medical Center,Washington,Region  6
WAVM-TX1,Virginia Mason Medical Center,Washington,Region  6
WICH-TX1,Children's Hospital of Wisconsin,Wisconsin,Region  7
WISE-TX1,Froedtert Memorial Lutheran Hospital,Wisconsin,Region  7
WISL-TX1,Aurora St. Luke's Medical Center,Wisconsin,Region  7
WIUW-TX1,University of Wisconsin Hospital and Clinics,Wisconsin,Region  7
WVCA-TX1,Charleston Area Medical Center,West Virginia,Region  2
WVWU-TX1,West Virginia University Hospitals Inc.,West Virginia,Region  2
