id,type,name,state,region,lat,lon,notes
NYSB-TX1,transplant_center,University Hospital of State University of New York at Stony Brook,New York,Region  9,,,
DECC-TX1,transplant_center,Christiana Care Health Services,Delaware,Region  2,,,
GAEH-TX1,transplant_center,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Georgia,Region  3,,,
ILSF-TX1,transplant_center,OSF Saint Francis Medical Center,Illinois,Region  7,,,
WACH-TX1,transplant_center,Seattle Children's Hospital,Washington,Region  6,,,
MACH-TX1,transplant_center,Boston Children's Hospital,Massachusetts,Region  1,,,
TXLP-TX1,transplant_center,Las Palmas Medical Center,Texas,Region  4,,,
CAGH-TX1,transplant_center,Scripps Green Hospital,California,Region  5,,,
PAHH-TX1,transplant_center,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,Region  2,,,
NJBI-TX1,transplant_center,Newark Beth Israel Medical Center,New Jersey,Region  2,,,
MNHC-TX1,transplant_center,Hennepin County Medical Center,Minnesota,Region  7,,,
NJUH-TX1,transplant_center,University Hospital,New Jersey,Region  2,,,
UTPC-TX1,transplant_center,Primary Children's Hospital,Utah,Region  5,,,
PACP-TX1,transplant_center,Children's Hospital of Philadelphia,Pennsylvania,Region  2,,,
IAIM-TX1,transplant_center,Iowa Methodist Medical Center,Iowa,Region  8,,,
NYDS-TX1,transplant_center,"State University of New York, Downstate Medical Center",New York,Region  9,,,
DCWH-TX1,transplant_center,Washington Hospital Center,District of Columbia,Region  2,,,
OHCH-TX1,transplant_center,Nationwide Children's Hospital,Ohio,Region  11,,,
OKSJ-TX1,transplant_center,St John Medical Center,Oklahoma,Region  4,,,
TXPM-TX1,transplant_center,Parkland Health and Hospital System,Texas,Region  4,,,
NDSL-TX1,transplant_center,Sanford Medical Center Fargo,North Dakota,Region  7,,,
COCH-TX1,transplant_center,Children's Hospital Colorado,Colorado,Region  8,,,
NYAM-TX1,transplant_center,Albany Medical Center Hospital,New York,Region  9,,,
RIRH-TX1,transplant_center,Rhode Island Hospital,Rhode Island,Region  1,,,
MABS-TX1,transplant_center,Baystate Medical Center,Massachusetts,Region  1,,,
NMPH-TX1,transplant_center,Presbyterian Hospital,New Mexico,Region  5,,,
FLSH-TX1,transplant_center,Ascension Sacred Heart Pensacola,Florida,Region  3,,,
MISJ-TX1,transplant_center,Ascension St. John Hospital,Michigan,Region  10,,,
MNAN-TX1,transplant_center,Abbott Northwestern Hospital,Minnesota,Region  7,,,
