id,type,name,state,lat,lon,coordinate_quality,notes
GAEH-TX1,transplant_center,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Georgia,,,missing,
ILSF-TX1,transplant_center,OSF Saint Francis Medical Center,Illinois,,,missing,
WACH-TX1,transplant_center,Seattle Children's Hospital,Washington,,,missing,
MACH-TX1,transplant_center,Boston Children's Hospital,Massachusetts,,,missing,
TXLP-TX1,transplant_center,Las Palmas Medical Center,Texas,,,missing,
CAGH-TX1,transplant_center,Scripps Green Hospital,California,,,missing,
PAHH-TX1,transplant_center,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,,,missing,
NJBI-TX1,transplant_center,Newark Beth Israel Medical Center,New Jersey,,,missing,
MNHC-TX1,transplant_center,Hennepin County Medical Center,Minnesota,,,missing,
NJUH-TX1,transplant_center,University Hospital,New Jersey,,,missing,
UTPC-TX1,transplant_center,Primary Children's Hospital,Utah,,,missing,
PACP-TX1,transplant_center,Children's Hospital of Philadelphia,Pennsylvania,,,missing,
IAIM-TX1,transplant_center,Iowa Methodist Medical Center,Iowa,,,missing,
NYDS-TX1,transplant_center,"State University of New York, Downstate Medical Center",New York,,,missing,
DCWH-TX1,transplant_center,Washington Hospital Center,District of Columbia,,,missing,
OHCH-TX1,transplant_center,Nationwide Children's Hospital,Ohio,,,missing,
OKSJ-TX1,transplant_center,St John Medical Center,Oklahoma,,,missing,
TXPM-TX1,transplant_center,Parkland Health and Hospital System,Texas,,,missing,
NDSL-TX1,transplant_center,Sanford Medical Center Fargo,North Dakota,,,missing,
COCH-TX1,transplant_center,Children's Hospital Colorado,Colorado,,,missing,
NYAM-TX1,transplant_center,Albany Medical Center Hospital,New York,,,missing,
RIRH-TX1,transplant_center,Rhode Island Hospital,Rhode Island,,,missing,
MABS-TX1,transplant_center,Baystate Medical Center,Massachusetts,,,missing,
NMPH-TX1,transplant_center,Presbyterian Hospital,New Mexico,,,missing,
FLSH-TX1,transplant_center,Ascension Sacred Heart Pensacola,Florida,,,missing,
MISJ-TX1,transplant_center,Ascension St. John Hospital,Michigan,,,missing,
MNAN-TX1,transplant_center,Abbott Northwestern Hospital,Minnesota,,,missing,
TNEM-TX1,transplant_center,Erlanger Medical Center,Tennessee,,,missing,
AZCH-TX1,transplant_center,Phoenix Children's Hospital,Arizona,,,missing,
NMAQ-TX1,transplant_center,"University Hospital, University of New Mexico Health Sciences Center",New Mexico,,,missing,
ALCH-TX1,transplant_center,Children's of Alabama,Alabama,,,missing,
VAHD-TX1,transplant_center,Henrico Doctors' Hospital,Virginia,,,missing,
MABU-TX1,transplant_center,Boston Medical Center,Massachusetts,,,missing,
MEMC-TX1,transplant_center,Maine Medical Center,Maine,,,missing,
MOCM-TX1,transplant_center,Children's Mercy Hospital,Missouri,,,missing,
CAMB-TX1,transplant_center,UCSF Medical Center at Mission Bay,California,,,missing,
DCWR-TX1,transplant_center,Walter Reed National Military Medical Center at Bethesda,District of Columbia,,,missing,
ILMM-TX1,transplant_center,Springfield Memorial Hospital,Illinois,,,missing,
SDMK-TX1,transplant_center,Avera McKennan Hospital,South Dakota,,,missing,
SDSV-TX1,transplant_center,Sanford Health/USD Medical Center,South Dakota,,,missing,
WVWU-TX1,transplant_center,West Virginia University Hospitals Inc.,West Virginia,,,missing,
CACH-TX1,transplant_center,Rady Children's Hospital and Health Center,California,,,missing,
WICH-TX1,transplant_center,Children's Hospital of Wisconsin,Wisconsin,,,missing,
TNLB-TX1,transplant_center,Le Bonheur Children's Medical Center,Tennessee,,,missing,
TXDM-TX1,transplant_center,North Austin Medical Center,Texas,,,missing,
NHDH-TX1,transplant_center,Mary Hitchcock Memorial Hospital,New Hampshire,,,missing,
NYVA-TX1,transplant_center,James J. Peters VA Medical Center,New York,,,missing,
TXUC-TX1,transplant_center,University Children's Health,Texas,,,missing,
CASG-TX1,transplant_center,Sutter Medical Center Sacramento,California,,,missing,
