,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,Diabetes -. Type II Non-Insulin Dep/Adult,,3,3,0,0,0,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type I,,"3,830","3,106",0,115,"1,455",0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type I,,357,0,0,357,0,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type II,,"32,118","31,816",0,58,655,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type II,,87,0,0,87,0,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type Other /. Unknown,,211,200,0,2,18,0,0,0,0,0,0,0,0
,Ahn: Type B. And D,,1,0,1,0,0,0,0,0,0,0,0,0,0
,IIP: DESQUAMATIVE INTERSTITIAL PNEUMONIA,,1,0,0,0,0,0,1,0,0,0,0,0,0
,
,Diabetes Mellitus -. Type Other /. Unknown,,4,0,0,4,0,0,0,0,0,0,0,0,0
,Diabetes Secondary To Chronic Pancreatitis Withou,,1,0,0,1,0,0,0,0,0,0,0,0,0
,Diabetes Secondary To Cystic Fibrosis Without Pan,,5,0,0,5,0,0,0,0,0,0,0,0,0
,Dilated Myopathy: Adriamycin,,20,0,0,0,0,20,0,0,0,0,0,0,0
,Dilated Myopathy: Alcoholic,,15,0,0,0,0,15,0,0,0,0,0,0,0
,Dilated Myopathy: Familial,,151,0,0,0,0,151,0,0,0,0,0,0,0
,Dilated Myopathy: Idiopathic,,"1,272",0,0,0,0,"1,272",0,0,0,0,0,0,0
,Dilated Myopathy: Ischemic,,903,0,0,0,0,903,0,0,0,0,0,0,0
,Dilated Myopathy: Myocarditis,,27,0,0,0,0,27,0,0,0,0,0,0,0
,Dilated Myopathy: Other Specify,,469,0,0,0,0,469,0,0,0,0,0,0,0
Acute Hepatic Necrosis,All Diagnosis,,56,0,56,0,0,0,0,0,0,0,0,0,0
,Ahn: Type B- Hbsag+,,10,0,10,0,0,0,0,0,0,0,0,0,0
,Ahn: Type C,,3,0,3,0,0,0,0,0,0,0,0,0,0
,Ahn: Drug Other Specify,,4,0,4,0,0,0,0,0,0,0,0,0,0
,Ahn: Etiology Unknown,,7,0,7,0,0,0,0,0,0,0,0,0,0
,"Ahn: Other, Specify (E.G., Acute Viral Infection,",,30,0,30,0,0,0,0,0,0,0,0,0,0
,Ahn: Type B. And C,,1,0,1,0,0,0,0,0,0,0,0,0,0
,Ahn: Type B. And D,,1,0,1,0,0,0,0,0,0,0,0,0,0
Alpha-1 - Antitrypsin Deficiency,All Diagnosis,,12,0,0,0,0,0,12,0,0,0,0,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,12,0,0,0,0,0,12,0,0,0,0,0,0
Benign Neoplasms,All Diagnosis,,77,0,77,0,0,0,0,0,0,0,0,0,0
,Benign Tumor: Hepatic Adenoma,,11,0,11,0,0,0,0,0,0,0,0,0,0
,Benign Tumor: Other Specify,,4,0,4,0,0,0,0,0,0,0,0,0,0
,Benign Tumor: Polycystic Liver Disease,,62,0,62,0,0,0,0,0,0,0,0,0,0
Biliary Atresia,All Diagnosis,,158,0,158,0,0,0,0,0,0,0,0,0,0
,"Biliary Atresia Or Hypoplasia: Other, Specify",,36,0,36,0,0,0,0,0,0,0,0,0,0
,Biliary Atresia: Extrahepatic,,105,0,105,0,0,0,0,0,0,0,0,0,0
,Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,16,0,16,0,0,0,0,0,0,0,0,0,0
,Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,1,0,0,0,0,0,0,0,0,0,0
Cardiomyopathy,All Diagnosis,,"2,073",0,0,0,0,"2,073",0,3,0,0,0,0,0
