,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,UTLD-TX1 Intermountain Medical Center,,423,368,24,0,8,29,0,0,0,0,0,0,0
,UTMC-TX1 University of Utah Medical Center,,574,493,31,3,18,28,8,0,0,0,0,0,0
,UTPC-TX1 Primary Children's Hospital,,21,5,2,0,0,14,0,0,0,0,0,0,0
,VACH-TX1 Children's Hospital of the King's Daughters,,9,9,0,0,0,0,0,0,0,0,0,0,0
,VAFH-TX1 Inova Fairfax Hospital,,705,651,0,26,23,40,18,2,0,0,0,0,0
,VAHD-TX1 Henrico Doctors' Hospital,,153,153,0,0,0,0,0,0,0,0,0,0,0
,"VAMC-TX1 VCU Health System Authority, VCUMC",,"1,347","1,052",233,8,42,42,4,0,0,0,0,0,0
,VAMV-TX1 Hunter Holmes McGuire Veterans Administration Medical Center,,11,0,0,0,0,11,0,0,0,0,0,0,0
,VANG-TX1 Sentara Norfolk General Hospital,,554,541,0,0,14,13,0,0,0,0,0,0,0
,VAUV-TX1 University of Virginia Health Sciences Center,,864,771,45,6,19,31,14,0,0,0,0,0,0
