id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
AZUA-TX1,transplant_center,Banner University Medical Center-Tucson,Arizona,50,32.2412,-110.9456,facility_or_city,2,batch_hit_needs_spot_check,"Banner University Medical Center-Tucson, Arizona (transplant center hospital)"
CALA-TX1,transplant_center,Harbor UCLA Medical Center,California,50,33.8294,-118.2948,facility_or_city,2,batch_hit_needs_spot_check,"Harbor UCLA Medical Center, California (transplant center hospital)"
TXVA-TX1,transplant_center,Michael E. DeBakey VA Medical Center,Texas,49,29.7019,-95.3889,facility_or_city,3,batch_hit_needs_spot_check,"Michael E. DeBakey VA Medical Center, Texas (transplant center hospital)"
GAEH-TX1,transplant_center,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Georgia,45,33.8317,-84.3299,facility_or_city,3,batch_hit_needs_spot_check,"Children’s Healthcare of Atlanta - Arthur M. Blank Hospital, Georgia (transplant center hospital)"
ILSF-TX1,transplant_center,OSF Saint Francis Medical Center,Illinois,44,40.7024,-89.59,facility_or_city,3,batch_hit_needs_spot_check,"OSF Saint Francis Medical Center, Illinois (transplant center hospital)"
WACH-TX1,transplant_center,Seattle Children's Hospital,Washington,42,47.6631,-122.2825,facility_or_city,3,batch_hit_needs_spot_check,"Seattle Children's Hospital, Washington (transplant center hospital)"
MACH-TX1,transplant_center,Boston Children's Hospital,Massachusetts,41,42.3372,-71.1057,facility_or_city,3,batch_hit_needs_spot_check,"Boston Children's Hospital, Massachusetts (transplant center hospital)"
TXLP-TX1,transplant_center,Las Palmas Medical Center,Texas,41,31.77,-106.4983,facility_or_city,3,batch_hit_needs_spot_check,"Las Palmas Medical Center, Texas (transplant center hospital)"
CAGH-TX1,transplant_center,Scripps Green Hospital,California,40,32.8963,-117.2426,facility_or_city,3,batch_hit_needs_spot_check,"Scripps Green Hospital, California (transplant center hospital)"
NJBI-TX1,transplant_center,Newark Beth Israel Medical Center,New Jersey,39,40.7103,-74.2126,facility_or_city,3,batch_hit_needs_spot_check,"Newark Beth Israel Medical Center, New Jersey (transplant center hospital)"
MNHC-TX1,transplant_center,Hennepin County Medical Center,Minnesota,38,44.9712,-93.2604,facility_or_city,3,batch_hit_needs_spot_check,"Hennepin County Medical Center, Minnesota (transplant center hospital)"
NJUH-TX1,transplant_center,University Hospital,New Jersey,38,40.7405,-74.1912,facility_or_city,3,batch_hit_needs_spot_check,"University Hospital, New Jersey (transplant center hospital)"
UTPC-TX1,transplant_center,Primary Children's Hospital,Utah,38,40.7713,-111.8389,facility_or_city,3,batch_hit_needs_spot_check,"Primary Children's Hospital, Utah (transplant center hospital)"
