,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
CYSTIC FIBROSIS,,14,0,14,0,0,0,0,0,0,0,0,0,0,0
"Biliary Atresia Or Hypoplasia: Other, Specify",,33,0,33,0,0,0,0,0,0,0,0,0,0,0
Wegeners Granulomatosis,,210,210,0,0,0,0,0,0,0,0,0,0,0,0
Wilms' Tumor,,24,24,0,0,0,0,0,0,0,0,0,0,0,0
"Other, Specify",,"10,449","9,861",374,103,31,39,0,0,41,0,0,0,0,0
Not Reported,,"4,985","3,718","1,075",43,126,0,0,0,14,1,2,1,2,3
Biliary Atresia: Extrahepatic,,109,0,109,0,0,0,0,0,0,0,0,0,0,0
DILATED MYOPATHY: VIRAL (NOT COVID-19),,17,0,0,0,0,17,0,0,0,0,0,0,0,0
COVID-19: DILATED MYOPATHY: HISTORY OF MYOCARDITIS,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
COVID-19: PULMONARY FIBROSIS,,16,0,0,0,0,0,15,1,0,0,0,0,0,0
ACUTE ALCOHOL-ASSOCIATED HEPATITIS WITH OR WITHOUT CIRRHOSIS,,228,0,228,0,0,0,0,0,0,0,0,0,0,0
ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS,,"2,124",0,"2,124",0,0,0,0,0,0,0,0,0,0,0
COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE),,47,0,0,0,0,0,47,0,0,0,0,0,0,0
Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,14,0,14,0,0,0,0,0,0,0,0,0,0,0
CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,"1,090",0,"1,090",0,0,0,0,0,0,0,0,0,0,0
CIRRHOSIS: METABOLIC DYSFUNCTION AND ALCOHOL-RELATED/ASSOCIATED LIVER DISEASE (METALD),,263,0,263,0,0,0,0,0,0,0,0,0,0,0
Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Bronchiectasis,,15,0,0,0,0,0,14,1,0,0,0,0,0,0
Bronchopulmonary Dysplasia,,3,0,0,0,0,0,3,0,0,0,0,0,0,0
Budd-Chiari Syndrome,,48,0,48,0,0,0,0,0,0,0,0,0,0,0
Calcineurin Inhibitor Nephrotoxicity,,809,806,0,0,3,0,0,0,0,0,0,0,0,0
Ahn: Drug Other Specify,,4,0,4,0,0,0,0,0,0,0,0,0,0,0
Cancer Chemotherapy Induced Nephritis,,96,96,0,0,0,0,0,0,0,0,0,0,0,0
Choles Liver Disease: Other Specify,,12,0,12,0,0,0,0,0,0,0,0,0,0,0
Cholesterol Embolization,,1,1,0,0,0,0,0,0,0,0,0,0,0,0
