,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
,Congenital Heart Defect -. With Surgery,,373,0,0,0,0,366,0,7,0,0,0
,Congenital Heart Defect -. Without Surgery,,42,0,0,0,0,39,0,3,0,0,0
,Congenital Hepatic Fibrosis,,17,0,17,0,0,0,0,0,0,0,0
,Congenital Malformation,,2,0,0,0,0,0,2,0,0,0,0
,Congenital Obstructive Uropathy,,182,181,0,0,1,0,0,0,0,0,0
,RETRANSPLANT/GRAFT FAILURE,,9,0,0,9,0,0,0,0,0,0,0
,Constrictive Bronchiolitis,,5,0,0,0,0,0,5,0,0,0,0
,Copd/Emphysema,,592,0,0,0,0,0,590,2,0,0,0
,Coronary Artery Disease,,69,0,0,0,0,68,0,1,0,0,0
,Cortical Necrosis,,20,20,0,0,0,0,0,0,0,0,0
,Crest -. Pulmonary Hypertension,,1,0,0,0,0,0,1,0,0,0,0
,Cystic Fibrosis,,56,0,0,0,0,0,56,0,0,0,0
,RETRANSPLANT,,6,0,0,0,0,0,0,0,6,0,0
,Cystinosis,,14,14,0,0,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type I,,"1,124",600,0,0,524,0,0,0,0,0,0
,Diabetes Mellitus -. Type I,,44,0,0,44,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type II,,"7,633","7,402",0,0,231,0,0,0,0,0,0
,Diabetes Mellitus -. Type II,,9,0,0,9,0,0,0,0,0,0,0
,Diabetes Mellitus -. Type Other /. Unknown,,97,94,0,0,3,0,0,0,0,0,0
,
,Diabetes Secondary To Cystic Fibrosis Without Pan,,1,0,0,1,0,0,0,0,0,0,0
,Dilated Myopathy: Adriamycin,,30,0,0,0,0,30,0,0,0,0,0
,Dilated Myopathy: Alcoholic,,5,0,0,0,0,5,0,0,0,0,0
,Dilated Myopathy: Familial,,167,0,0,0,0,167,0,0,0,0,0
,Dilated Myopathy: Idiopathic,,"1,437",0,0,0,0,"1,429",0,8,0,0,0
,Dilated Myopathy: Ischemic,,"1,056",0,0,0,0,"1,054",0,2,0,0,0
,Dilated Myopathy: Myocarditis,,38,0,0,0,0,38,0,0,0,0,0
,Dilated Myopathy: Other Specify,,571,0,0,0,0,571,0,0,0,0,0
Acute Hepatic Necrosis,All Diagnosis,,206,0,206,0,0,0,0,0,0,0,0
,Ahn: Type B- Hbsag+,,11,0,11,0,0,0,0,0,0,0,0
,Ahn: Type C,,7,0,7,0,0,0,0,0,0,0,0
,"Metdis: Wilson'S Disease, Other Copper Metabolism",,1,0,1,0,0,0,0,0,0,0,0
,Plm: Hepatoma (Hcc) And Cirrhosis,,4,0,4,0,0,0,0,0,0,0,0
,Plm: Hepatoma -. Hepatocellular Carcinoma,,3,0,3,0,0,0,0,0,0,0,0
,"Plm: Other Specify (I.E., Klatzkin Tumor, Leiomys",,1,0,1,0,0,0,0,0,0,0,0
,Psc: Other Specify,,1,0,1,0,0,0,0,0,0,0,0
,"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",,1,0,1,0,0,0,0,0,0,0,0
,CYSTIC FIBROSIS,,1,0,1,0,0,0,0,0,0,0,0
,"Other, Specify",,11,0,11,0,0,0,0,0,0,0,0
,ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS,,3,0,3,0,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,1,0,1,0,0,0,0,0,0,0,0
,Ahn: Drug Other Specify,,43,0,43,0,0,0,0,0,0,0,0
,Choles Liver Disease: Other Specify,,1,0,1,0,0,0,0,0,0,0,0
,Cirrhosis: Autoimmune,,5,0,5,0,0,0,0,0,0,0,0
,Ahn: Etiology Unknown,,30,0,30,0,0,0,0,0,0,0,0
,Cirrhosis: Chronic Active Hepatitis: Etiology Unk,,1,0,1,0,0,0,0,0,0,0,0
